metric,survey_mapping,types,default_value
feed.bypass_fat.cow_dry.kgDMI_head_day,F95,float,0
manure_type.calf_dairy,C101,int,
manure_type.heifer,C102,int,
manure_type.cow_milk,C103,int,
manure_type.cow_dry,C104,int,
energy.diesel,D118,float,0
energy.electricity,D119,float,0
energy.renewables,D120,float,0
energy.petrol,D121,float,0
energy.gas,D122,float,0
